Customer_Number,Monetary,Frequency,Last.Purchase,average.number.of.cds,recency,purchase.amount.time2,retained
1,11.77,1,1/1/97,1,272,NA,0
2,44.5,2,1/12/97,3,261,NA,0
3,20.35333333,3,4/2/97,2,181,31.8,1
4,24.67333333,3,8/2/97,1.666666667,59,26.48,1
5,32.65125,8,9/15/97,2.375,15,41.46666667,1
6,20.99,1,1/1/97,1,272,NA,0
7,28.74,1,1/1/97,2,272,117.965,1
8,26.4475,4,7/3/97,1.75,89,22.9675,1
9,26.935,2,5/13/97,2,140,41.98,1
10,39.31,1,1/21/97,3,252,NA,0
11,15.18666667,3,3/17/97,1,197,12.99,1
12,57.06,1,1/1/97,4,272,NA,0
13,72.94,1,1/1/97,4,272,NA,0
14,29.92,1,1/1/97,2,272,NA,0
15,52.87,1,1/1/97,4,272,NA,0
16,19.9675,4,9/10/97,2,20,NA,0
17,73.22,1,1/1/97,5,272,NA,0
18,14.96,1,1/4/97,1,269,NA,0
19,87.56,2,6/10/97,5.5,112,NA,0
20,326.505,2,1/18/97,23,255,NA,0
21,37.555,2,1/13/97,2,260,NA,0
22,14.37,1,1/1/97,1,272,NA,0
23,24.74,1,1/1/97,2,272,NA,0
24,47.28,1,1/1/97,3,272,10.49,1
25,17.03666667,3,8/17/97,1.333333333,44,17.284,1
26,51.345,2,1/26/97,3,247,NA,0
27,67.935,2,1/12/97,5,261,NA,0
28,30.33,3,3/8/97,2.333333333,206,NA,0
29,35.139,10,9/6/97,2.1,24,42.21,1
30,14.17,2,2/14/97,1,228,NA,0
31,59.06,1,1/1/97,4,272,39.33,1
32,33.165,2,1/24/97,2,249,11.88,1
33,36.95222222,9,9/6/97,2.333333333,24,44.55625,1
34,23.14,1,1/1/97,2,272,NA,0
35,21.11,2,9/27/97,1.5,3,NA,0
36,24.84,2,2/3/97,2,239,NA,0
37,22.1825,4,8/16/97,1.5,45,33.475,1
38,12.49,1,1/1/97,1,272,NA,0
39,37.64666667,3,5/14/97,3,139,54.255,1
40,22.09714286,7,9/14/97,1.428571429,16,23.46571429,1
41,17.99,1,1/1/97,1,272,NA,0
42,19.16,2,1/2/97,2,271,NA,0
43,21.94666667,3,3/1/97,1.666666667,213,25.74,1
44,19.88333333,3,6/19/97,1.333333333,103,NA,0
45,14.37,1,1/1/97,1,272,NA,0
46,52.382,5,8/24/97,3.6,37,26.98,1
47,22.058,15,8/9/97,1.466666667,52,16.155,1
48,37.29333333,9,8/24/97,2.555555556,37,28.57181818,1
49,27.94,1,1/1/97,2,272,NA,0
50,6.79,1,1/1/97,1,272,NA,0
51,95.98333333,3,9/1/97,6.666666667,29,26.47666667,1
52,52.67142857,7,6/21/97,3.285714286,101,76.98,1
53,17.18,2,8/19/97,1,42,12.9625,1
54,33.96,1,1/1/97,2,272,NA,0
55,40.725,2,1/10/97,3,263,NA,0
56,21.74333333,3,6/1/97,1.666666667,121,63.96,1
