Profit99,Online99,Age99,Inc99,Tenure99,District99,ID
21,0,,,6.33,1200,1
-6,0,6,3,29.5,1200,2
-49,1,5,5,26.41,1100,3
-4,0,,,2.25,1200,4
-61,0,2,9,9.91,1200,5
-38,0,,3,2.33,1300,6
-19,0,3,1,8.41,1300,7
59,0,5,8,7.33,1200,8
493,0,4,9,15.33,1200,9
-158,0,6,8,4.33,1100,10
395,0,6,3,13.5,1200,11
-62,0,6,1,6.25,1200,12
-124,0,7,6,17.41,1200,13
32,0,,,0.58,1200,14
-28,0,4,9,14.66,1200,15
632,0,4,7,26.66,1100,16
-135,1,3,8,9,1200,17
-60,0,,5,9.41,1200,18
-92,0,3,7,4.16,1200,19
68,0,4,8,22.16,1200,20
26,0,4,7,8.66,1300,21
-28,0,,,2.41,1200,22
-6,0,3,4,4.75,1200,23
43,0,,,6.83,1100,24
698,0,4,6,18.91,1300,25
-50,0,,,1.66,1200,26
-27,0,4,6,8.66,1200,27
-14,1,,,6.33,1200,28
-36,0,,,4.83,1200,29
14,1,4,3,22.5,1300,30
-18,0,6,7,8.41,1200,31
-130,0,5,8,6.25,1200,32
-71,0,7,3,14.08,1200,33
291,0,4,6,29.5,1200,34
7,0,4,,5,1200,35
-32,0,2,1,2.5,1200,36
533,0,,,31.83,1200,37
88,0,4,7,8.58,1200,38
-162,0,,,4.33,1200,39
900,0,2,6,6.58,1200,40
383,0,,,13.83,1200,41
-95,1,4,4,20.41,1300,42
88,1,4,7,17.91,1200,43
-49,0,2,7,6.16,1200,44
-8,0,,,2.5,1200,45
32,0,5,6,8.75,1200,46
259,0,,,0.16,1200,47
512,0,6,9,1.16,1200,48
-27,0,,,1.66,1200,49
-1,0,,,40,1100,50
313,0,4,7,8.75,1200,51
205,0,7,3,19.16,1200,52
5,1,,,0.75,1100,53
367,0,5,7,7.33,1200,54
-48,1,2,6,6.58,1300,55
97,0,5,3,29,1200,56
316,0,6,6,22.41,1300,57
-44,0,,,6.25,1100,58
-27,0,4,9,15.08,1200,59
6,0,5,7,32.08,1200,60
-13,0,3,6,6.91,1200,61
-43,0,,,1.25,1300,62
362,0,,,0.41,1200,63
7,0,,,8.41,1200,64
-67,0,3,1,3.75,1100,65
-34,0,4,6,2.83,1200,66
191,1,,,3.33,1300,67
-30,0,,,5.41,1200,68
277,0,7,3,15.08,1200,69
4,0,,,1.25,1300,70
16,1,5,8,6.75,1200,71
703,1,4,9,10.25,1200,72
-36,0,3,6,7.66,1200,73
238,1,6,9,29.41,1200,74
-47,0,,,4.16,1200,75
220,0,7,3,2.5,1300,76
-213,0,4,6,11.66,1100,77
-41,0,4,6,6.16,1100,78
253,0,4,6,3.91,1200,79
-29,0,1,1,6.41,1200,80
-126,0,5,9,2.58,1200,81
-38,0,,,7.75,1200,82
83,0,2,5,5.16,1200,83
73,0,3,6,4.66,1200,84
-5,0,3,8,1.5,1200,85
380,0,3,7,7.08,1200,86
-56,0,6,1,34.5,1200,87
51,0,5,9,11.08,1200,88
56,0,6,7,4.58,1200,89
-90,1,2,7,3.75,1200,90
-69,0,7,6,10.08,1100,91
-131,1,6,6,6.5,1200,92
-141,0,7,9,33.5,1200,93
-48,0,4,6,10.25,1300,94
-66,0,4,6,8.83,1200,95
-6,0,4,1,5.5,1300,96
-65,0,,,5.08,1200,97
318,0,4,9,21.41,1200,98
768,0,4,4,10.66,1200,99
-24,0,,,5.91,1200,100
19,0,2,4,7.5,1200,101
208,0,3,6,6.75,1100,102
-83,0,5,7,6.83,1200,103
36,0,,,24,1200,104
295,0,7,3,20.58,1100,105
10,0,,,2,1200,106
46,0,4,3,5.58,1200,107
671,0,,,12.66,1200,108
56,0,4,8,21.08,1200,109
865,0,5,9,20.83,1200,110
-29,0,3,1,4.16,1200,111
13,0,,,3.5,1300,112
218,0,2,4,9.41,1200,113
94,0,,,7.58,1200,114
-82,0,7,1,1.91,1200,115
-134,0,3,1,3.75,1200,116
-2,0,5,7,4.58,1200,117
-3,0,3,2,6.41,1300,118
-45,0,3,6,7.5,1200,119
-191,1,2,7,4.41,1200,120
66,0,5,6,6.75,1200,121
47,0,,,8.16,1200,122
10,0,,,6.5,1200,123
0,0,,,5.41,1200,124
396,0,6,7,41.16,1200,125
53,0,1,2,13.91,1200,126
96,0,3,6,2.75,1200,127
-25,0,4,9,14.25,1200,128
-27,1,3,3,1.91,1200,129
301,0,4,7,17.5,1200,130
475,0,7,4,37.41,1300,131
-7,0,,,3.16,1200,132
121,0,4,4,22.25,1100,133
175,0,,,5.33,1300,134
32,0,4,6,9.25,1200,135
-6,0,3,6,4.5,1200,136
110,0,,,6.08,1200,137
-54,0,4,6,4.08,1200,138
-118,0,2,6,10.08,1200,139
13,0,2,,1.33,1200,140
284,1,3,6,8.91,1200,141
79,0,3,8,5.91,1300,142
-20,0,,,1.5,1300,143
