"","Profit99","Online99","Age99","Inc99","Tenure99","District99","ID","CumProfit","CumProfitPercent","PercentCust"
"6460",2071,0,5,7,23.75,1200,6460,2071,"0%","0.0%"
"1262",2063,0,3,9,2.75,1200,1262,4134,"0%","0.0%"
"29876",2062,0,4,7,1.25,1200,29876,6196,"0%","0.0%"
"30182",2062,0,5,5,21.25,1200,30182,8258,"0%","0.0%"
"24636",2061,0,4,9,21.16,1200,24636,10319,"0%","0.0%"
"25901",2049,0,7,6,25.08,1200,25901,12368,"0%","0.0%"
"962",2039,0,6,1,24.16,1100,962,14407,"0%","0.0%"
"16384",2039,0,3,7,4,1200,16384,16446,"0%","0.0%"
"25259",2039,0,6,4,28.33,1100,25259,18485,"1%","0.0%"
"9477",2034,0,NA,NA,0.91,1200,9477,20519,"1%","0.0%"
"10701",2031,0,4,7,14,1200,10701,22550,"1%","0.0%"
"24648",2031,0,NA,NA,5,1300,24648,24581,"1%","0.0%"
"27850",2023,0,4,5,23.33,1200,27850,26604,"1%","0.0%"
"7715",2008,0,7,6,33.16,1200,7715,28612,"1%","0.0%"
"7924",2006,0,3,9,8.91,1200,7924,30618,"1%","0.0%"
"26957",2005,0,NA,5,16.83,1200,26957,32623,"1%","0.1%"
"8427",1989,0,NA,NA,0.75,1200,8427,34612,"1%","0.1%"
"5592",1986,0,7,6,12.66,1200,5592,36598,"1%","0.1%"
"1078",1980,0,2,5,12.41,1200,1078,38578,"1%","0.1%"
"7373",1979,1,3,9,16.41,1200,7373,40557,"1%","0.1%"
"10442",1964,0,4,9,13.66,1200,10442,42521,"1%","0.1%"
"28753",1964,0,5,6,23.66,1300,28753,44485,"1%","0.1%"
"15791",1955,0,3,9,8.41,1200,15791,46440,"1%","0.1%"
"3312",1949,0,3,9,10.66,1200,3312,48389,"1%","0.1%"
"4836",1944,0,NA,NA,29.58,1200,4836,50333,"1%","0.1%"
"3229",1941,0,6,9,3.33,1200,3229,52274,"1%","0.1%"
"14532",1940,0,5,9,10.16,1200,14532,54214,"2%","0.1%"
"5933",1935,0,NA,NA,27.25,1200,5933,56149,"2%","0.1%"
"9530",1934,0,NA,NA,3.66,1200,9530,58083,"2%","0.1%"
"7987",1931,0,3,6,3.16,1200,7987,60014,"2%","0.1%"
"3620",1928,0,4,6,6.58,1200,3620,61942,"2%","0.1%"
"15377",1924,0,3,9,2.5,1200,15377,63866,"2%","0.1%"
