Customer,Order_Quantity,Gender,Married,Income,Loyalty
1,363.88,1,0,4,1
2,170.17,0,0,2,0
3,246.17,0,0,4,1
4,310.22,0,1,5,0
5,409.04,1,1,2,0
6,234.78,0,1,5,0
7,195.29,1,0,6,1
8,152.88,0,0,4,1
9,229.66,0,0,3,1
10,258.19,0,0,2,0
11,248.51,0,1,5,0
12,381.47,0,1,2,0
13,439.27,1,0,4,1
14,108.15,0,0,1,0
15,136.47,1,0,2,1
16,164.58,1,0,1,0
17,439.22,1,0,4,1
18,288.53,1,1,6,0
19,279.84,0,1,6,1
20,207.13,1,1,5,1
21,258.7,0,0,2,1
22,235.66,1,0,4,1
23,189.28,0,0,2,1
24,242.82,1,0,3,0
25,167.49,0,0,5,1
26,172.6,1,0,2,1
27,228.34,1,0,4,0
28,114.23,1,0,1,1
29,388.68,0,0,5,0
30,186.84,0,0,4,0
31,193.13,1,0,4,0
32,196.53,0,0,4,1
33,171.65,1,0,2,1
34,180.78,0,1,5,1
35,222.03,0,0,6,1
36,165.84,0,1,2,0
37,297.14,1,0,3,0
38,205.8,0,0,5,1
39,256.5,1,0,5,0
40,361.73,1,1,4,0
41,196.81,1,1,4,1
42,245.31,0,1,4,1
43,246.66,1,0,6,0
44,199.28,1,0,5,1
45,194.15,1,0,6,1
46,86.37,0,1,4,0
47,192.79,0,0,5,1
48,198.71,1,0,2,1
49,197.75,0,0,5,0
50,238.28,0,1,2,1
51,312.34,1,0,4,1
52,209.44,0,0,6,0
53,211.54,1,0,3,1
54,179.45,1,1,3,1
55,252.79,0,0,4,1
56,209.67,0,0,5,1
57,168.08,1,0,4,0
58,179.9,0,0,6,1
59,181.66,0,0,2,1
60,199.95,1,0,2,1
61,198.57,0,1,3,1
62,241.74,1,0,3,1
63,222.64,0,0,5,1
64,300.33,1,0,4,1
65,209.75,0,0,4,1
66,204.36,0,1,3,0
67,190.61,0,1,2,1
68,224.61,0,0,2,1
69,216.37,0,0,4,1
70,232.33,0,0,6,1
71,358.04,0,1,4,0
72,149.59,0,0,1,1
73,180.64,0,0,2,1
74,316.33,0,0,5,1
75,229.64,0,0,5,0
76,238.95,0,0,5,1
77,268.32,1,1,2,1
78,323.21,0,0,2,1
79,295.91,1,0,4,0
80,261.37,1,0,6,1
81,311.79,0,0,2,1
82,158.01,1,1,2,1
83,120.52,0,1,1,0
84,232.25,1,0,6,1
85,190.68,1,0,3,1
86,147.37,0,0,1,0
87,245.27,1,0,3,1
88,207.38,1,0,5,1
89,308.17,0,1,4,0
90,384.35,1,0,6,1
91,308.03,0,1,5,1
92,262.49,1,0,3,1
93,244.94,0,0,1,0
94,321.62,0,1,6,0
95,248.1,1,1,5,1
96,320.67,1,0,6,0
97,120.97,0,0,4,1
98,175.64,1,0,1,1
99,221.56,1,0,5,1
100,197.19,1,0,3,1
101,389.88,0,0,2,1
102,169.73,1,0,2,1
103,285.66,0,0,6,1
104,232.95,1,0,5,1
105,229.1,1,0,6,1
106,210.41,0,0,4,0
107,207.22,0,0,6,1
