,Id,donate_00,donate_01,donate_02,donate_03,donate_04,donate_05,donate_06,donate_07,donate_08,donate_09,donate_10,donate_11,frequency,recency
1,100001,1,0,0,0,0,0,0,0,0,0,0,0,1,10
2,100002,1,0,0,0,0,0,0,0,1,1,1,1,4,0
3,100003,1,0,0,0,0,0,0,0,0,0,0,0,1,10
4,100004,1,0,1,0,1,1,1,1,1,1,1,0,9,0
5,100005,1,0,1,1,1,0,1,1,1,1,1,1,9,0
6,100006,1,1,1,1,0,1,0,1,1,0,0,0,7,2
7,100007,1,1,0,1,0,1,0,0,0,0,0,0,4,5
8,100008,1,1,1,1,1,1,1,1,1,1,1,1,11,0
9,100009,1,1,1,1,1,1,0,1,1,1,1,1,10,0
10,100010,1,0,0,0,0,0,0,0,0,0,0,0,1,10
11,100011,1,0,0,0,0,0,0,0,0,0,0,0,1,10
12,100012,1,0,1,0,0,1,1,0,0,0,0,0,4,4
13,100013,1,1,0,1,0,0,0,0,0,0,0,0,3,7
14,100014,1,1,1,0,0,1,1,1,1,1,1,0,9,0
15,100015,1,0,0,0,0,0,0,0,0,0,0,0,1,10
16,100016,1,1,1,1,1,1,0,0,0,0,0,0,6,5
17,100017,1,1,0,0,1,1,0,0,0,0,0,0,4,5
18,100018,1,1,1,1,0,0,1,0,0,0,1,0,6,0
19,100019,1,1,0,1,1,0,1,1,0,1,1,1,8,0
20,100020,1,1,1,0,0,0,0,0,0,0,0,0,3,8
21,100021,1,1,1,0,1,1,0,1,0,0,0,0,6,3
22,100022,1,0,1,1,0,1,1,0,0,0,0,0,5,4
23,100023,1,0,0,0,0,0,0,0,0,0,0,0,1,10
24,100024,1,1,0,0,0,0,1,1,1,0,1,0,6,0
25,100025,1,0,0,0,0,0,0,0,0,0,0,0,1,10
26,100026,1,1,1,1,0,1,1,0,0,0,0,0,6,4
27,100027,1,0,0,0,0,0,0,0,0,0,0,0,1,10
28,100028,1,0,0,0,0,0,0,0,0,0,0,0,1,10
29,100029,1,0,0,0,0,0,0,0,0,0,0,0,1,10
30,100030,1,0,0,0,0,1,0,0,0,0,0,0,2,5
31,100031,1,0,0,0,0,0,0,0,0,0,0,0,1,10
32,100032,1,0,1,1,1,1,1,1,1,1,1,0,10,0
33,100033,1,1,1,0,1,1,0,1,1,1,1,1,9,0
34,100034,1,1,1,1,0,1,0,1,0,1,1,0,8,0
35,100035,1,1,0,0,0,1,0,1,0,1,0,0,5,1
